GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,28-Mar-21,RED BULL RACING HONDA,2,18
Emilia Romagna,18-Apr-21,RED BULL RACING HONDA,1,25
Portugal,02-May-21,RED BULL RACING HONDA,2,18
Spain,09-May-21,RED BULL RACING HONDA,2,19
Monaco,23-May-21,RED BULL RACING HONDA,1,25
Azerbaijan,06-Jun-21,RED BULL RACING HONDA,DNF,0
France,20-Jun-21,RED BULL RACING HONDA,1,26
Styria,27-Jun-21,RED BULL RACING HONDA,1,25
Austria,04-Jul-21,RED BULL RACING HONDA,1,26
Great Britain,18-Jul-21,RED BULL RACING HONDA,DNF,3
Hungary,01-Aug-21,RED BULL RACING HONDA,9,2
Belgium,29-Aug-21,RED BULL RACING HONDA,1,12.5
Netherlands,05-Sep-21,RED BULL RACING HONDA,1,25
Italy,12-Sep-21,RED BULL RACING HONDA,DNF,2
Russia,26-Sep-21,RED BULL RACING HONDA,2,18
Turkey,10-Oct-21,RED BULL RACING HONDA,2,18
United States,24-Oct-21,RED BULL RACING HONDA,1,25
Mexico,07-Nov-21,RED BULL RACING HONDA,1,25
Brazil,14-Nov-21,RED BULL RACING HONDA,2,20
Qatar,21-Nov-21,RED BULL RACING HONDA,2,19
